time,class1,class2,class3,class4
-714531600.0,0.01818181818181818,0.045454545454545456,0.9090909090909091,0.01818181818181818
-702176400.0,0.09523809523809523,0.14285714285714285,0.09523809523809523,0.6666666666666666
-702003600.0,0.0,0.0,0.0,1.0
-684982800.0,0.02564102564102564,0.358974358974359,0.23076923076923078,0.358974358974359
-683341200.0,0.11764705882352941,0.23529411764705882,0.23529411764705882,0.4117647058823529
-683082000.0,0.0,0.11764705882352941,0.47058823529411764,0.4117647058823529
-679107600.0,0.20512820512820512,0.05128205128205128,0.6923076923076923,0.05128205128205128
-654224400.0,0.09523809523809523,0.0,0.7619047619047619,0.14285714285714285
-650941200.0,0.0,0.0,0.0,1.0
-636598800.0,0.19444444444444445,0.7777777777777778,0.027777777777777776,0.0
-620787600.0,0.0,0.7647058823529411,0.23529411764705882,0.0
-620269200.0,0.3333333333333333,0.5333333333333333,0.0,0.13333333333333333
-617677200.0,0.0,0.5384615384615384,0.38461538461538464,0.07692307692307693
-616986000.0,0.05555555555555555,0.3888888888888889,0.0,0.5555555555555556
-611715600.0,0.5714285714285714,0.42857142857142855,0.0,0.0
-611629200.0,0.1111111111111111,0.0,0.0,0.8888888888888888
-609469200.0,0.0,0.875,0.03125,0.09375
-609037200.0,0.0,0.7272727272727273,0.18181818181818182,0.09090909090909091
-608864400.0,0.09375,0.65625,0.0625,0.1875
-608691600.0,0.07017543859649122,0.8070175438596491,0.10526315789473684,0.017543859649122806
-608346000.0,0.058823529411764705,0.8823529411764706,0.0,0.058823529411764705
-607827600.0,0.55,0.25,0.05,0.15
-606445200.0,0.15625,0.75,0.0,0.09375
-604112400.0,0.0,0.0,0.3333333333333333,0.6666666666666666
-603853200.0,0.125,0.28125,0.0625,0.53125
-603507600.0,0.19444444444444445,0.1111111111111111,0.2777777777777778,0.4166666666666667
-603421200.0,0.0,0.0,0.0,1.0
-602557200.0,0.0,0.0,0.0,1.0
-602384400.0,0.625,0.0625,0.15625,0.15625
-602125200.0,0.0,0.0,0.0,1.0
-602038800.0,0.2923076923076923,0.07692307692307693,0.5897435897435898,0.041025641025641026
-601866000.0,0.5,0.0,0.0,0.5
-600483600.0,0.35,0.35,0.05,0.25
-599965200.0,0.4166666666666667,0.0,0.041666666666666664,0.4583333333333333
-599187600.0,0.2692307692307692,0.0,0.07692307692307693,0.6153846153846154
-598237200.0,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.18181818181818182
-597805200.0,0.5853658536585366,0.12195121951219512,0.17073170731707318,0.12195121951219512
-597373200.0,0.4444444444444444,0.0,0.0,0.5555555555555556
-596768400.0,0.475,0.075,0.05,0.4
-596422800.0,0.4,0.0,0.2,0.4
-593830800.0,0.7619047619047619,0.09523809523809523,0.0,0.14285714285714285
-593744400.0,0.7,0.0,0.0,0.3
-592966800.0,0.0,0.5,0.0,0.5
-592534800.0,0.1111111111111111,0.0,0.0,0.8888888888888888
-588646800.0,0.5217391304347826,0.17391304347826086,0.0,0.30434782608695654
-588042000.0,0.0,0.14285714285714285,0.0,0.8571428571428571
-587782800.0,0.0,0.0,0.16666666666666666,0.8333333333333334
-576550800.0,0.6363636363636364,0.18181818181818182,0.09090909090909091,0.09090909090909091
-575254800.0,0.875,0.0,0.0,0.125
-569811600.0,0.0,0.0,0.0,1.0
-568947600.0,0.12222222222222222,0.45555555555555555,0.34444444444444444,0.07777777777777778
-568429200.0,0.0625,0.375,0.125,0.4375
-567651600.0,0.25,0.25,0.0,0.5
-566010000.0,0.375,0.0,0.125,0.5
-565405200.0,0.02857142857142857,0.6285714285714286,0.11428571428571428,0.22857142857142856
-564195600.0,0.6428571428571429,0.07142857142857142,0.07142857142857142,0.21428571428571427
-563936400.0,0.125,0.1875,0.625,0.0625
-561344400.0,0.07692307692307693,0.7435897435897436,0.05128205128205128,0.1282051282051282
-559443600.0,0.25,0.4166666666666667,0.08333333333333333,0.25
-552790800.0,0.0,0.0,0.0,1.0
-552618000.0,0.7903225806451613,0.03225806451612903,0.016129032258064516,0.14516129032258066
-552358800.0,0.7692307692307693,0.07692307692307693,0.038461538461538464,0.11538461538461539
-551667600.0,0.23333333333333334,0.5666666666666667,0.03333333333333333,0.16666666666666666
-551581200.0,0.0,0.0,0.0,1.0
-550890000.0,0.5,0.5,0.0,0.0
-550544400.0,0.3333333333333333,0.09090909090909091,0.0,0.5757575757575758
-550458000.0,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.3333333333333333
-549939600.0,0.6428571428571429,0.0,0.07142857142857142,0.2857142857142857
-544323600.0,0.2,0.0,0.4,0.4
-543027600.0,0.42857142857142855,0.0,0.0,0.5714285714285714
-539139600.0,0.3333333333333333,0.0,0.0,0.6666666666666666
-536029200.0,0.7142857142857143,0.14285714285714285,0.0,0.14285714285714285
-535942800.0,0.3333333333333333,0.0,0.0,0.6666666666666666
-533005200.0,0.0,0.6666666666666666,0.0,0.3333333333333333
-532227600.0,0.0,0.3333333333333333,0.0,0.6666666666666666
-526438800.0,0.3333333333333333,0.0,0.0,0.6666666666666666
-525402000.0,0.22857142857142856,0.5142857142857142,0.02857142857142857,0.22857142857142856
